rep,host,t,Ec
2,11,12000.0,0.32361915457089
2,11,13000.0,0.36473260190608
2,11,14000.0,0.35216785999815
2,11,15000.0,0.36094238551922
2,11,16000.0,0.33212279696929
2,11,17000.0,0.31513582451396
2,11,18000.0,0.31317931907102
2,11,19000.0,0.24283756651465
2,11,20000.0,0.38875663426727
2,11,21000.0,0.343918171994
2,11,22000.0,0.39717965064243
2,11,23000.0,0.41041666106889
2,11,24000.0,0.36304631889585
2,11,25000.0,0.2726327096992
2,11,26000.0,0.42588985960805
2,11,27000.0,0.40379445159641
2,11,28000.0,0.27019734631661
2,11,29000.0,0.22367399749122
2,11,30000.0,0.27305585482695
2,11,31000.0,0.31427431929087
2,11,32000.0,0.34922608801841
2,11,33000.0,0.182202390764
2,11,34000.0,0.30281901523538
2,11,35000.0,0.33353659174352
2,11,36000.0,0.13502436029435
2,11,37000.0,0.17602263195567
2,11,38000.0,0.21301658227905
2,11,39000.0,0.22535216957929
2,11,40000.0,0.32173694751459
2,11,41000.0,0.25466024558791
2,11,42000.0,0.20490136414088
2,11,43000.0,0.15732991526819
2,11,44000.0,0.18845780247408
2,11,45000.0,0.14386306856183
2,11,46000.0,0.18360872026934
2,11,47000.0,0.038316012680602
2,11,48000.0,0.23788771711514
2,11,49000.0,0.11166752105309
2,11,50000.0,0.15517927412675
2,12,1000.0,1.0
2,12,2000.0,0.0
2,12,3000.0,0.086208529305431
2,12,4000.0,0.3216519522463
2,12,5000.0,0.22636256327682
2,12,6000.0,0.32829279522648
2,12,7000.0,0.18934888332246
2,12,8000.0,0.38301425324193
2,12,9000.0,0.28560797453038
2,12,10000.0,0.28763023015539
2,12,11000.0,0.25533408648425
2,12,12000.0,0.35510499057221
2,12,13000.0,0.34461775847964
2,12,14000.0,0.23254155640597
2,12,15000.0,0.32689469215704
2,12,16000.0,0.23203652217622
2,12,17000.0,0.19453948228762
2,12,18000.0,0.22850389636817
2,12,19000.0,0.22624302783197
2,12,20000.0,0.26038891414961
2,12,21000.0,0.28566317029729
2,12,22000.0,0.1692499470153
2,12,23000.0,0.25125985797627
2,12,24000.0,0.21279082510084
2,12,25000.0,0.0080510334188824
2,12,26000.0,0.28447035881504
2,12,27000.0,0.19194590893137
2,12,28000.0,0.18142665963421
2,12,29000.0,0.22938656432854
2,12,30000.0,0.18880196700654
2,12,31000.0,0.16557512886513
2,12,32000.0,0.16907949232678
2,12,33000.0,0.21401953943402
2,12,34000.0,0.16111649852421
2,12,35000.0,0.083419090466973
2,12,36000.0,0.2561071690779
2,12,37000.0,0.19121954336043
2,12,38000.0,0.123015973956
2,12,39000.0,0.3232461319075
2,12,40000.0,0.21134955178853
2,12,41000.0,0.21971836229801
2,12,42000.0,0.12411526772666
2,12,43000.0,0.13399697141911
2,12,44000.0,0.19910432636896
2,12,45000.0,0.23902987687462
2,12,46000.0,0.14416364172091
2,12,47000.0,0.14723118581582
2,12,48000.0,0.25771234328233
2,12,49000.0,0.24930345166534
2,12,50000.0,0.24338687834531
2,13,1000.0,1.0
2,13,2000.0,0.0
2,13,3000.0,0.11335181572512
2,13,4000.0,0.20918375809089
2,13,5000.0,0.066874706453297
2,13,6000.0,0.168139250654
2,13,7000.0,0.12767019517057
2,13,8000.0,0.2470341030632
2,13,9000.0,0.16245845908899
2,13,10000.0,0.12157748789664
2,13,11000.0,0.10712715122008
2,13,12000.0,0.17612433313508
2,13,13000.0,0.11812194852722
2,13,14000.0,0.061961099449387
2,13,15000.0,0.22101868932307
2,13,16000.0,0.07666730524099
2,13,17000.0,0.055021241710812
2,13,18000.0,0.068412267590403
2,13,19000.0,0.097739256906823
2,13,20000.0,0.1781106538955
2,13,21000.0,0.042564112812181
2,13,22000.0,0.020451402797069
2,13,23000.0,0.15820815314584
2,13,24000.0,0.11903791139657
2,13,25000.0,0.0
2,13,26000.0,0.29431283712723
2,13,27000.0,0.19451574288025
2,13,28000.0,0.25861224911204
2,13,29000.0,0.30806358786118
2,13,30000.0,0.32031762939167
2,13,31000.0,0.20107665625406
2,13,32000.0,0.30651387535581
2,13,33000.0,0.26403416646335
2,13,34000.0,0.25505361742577
2,13,35000.0,0.258170474214
2,13,36000.0,0.30899787547644
2,13,37000.0,0.35282225199571
2,13,38000.0,0.31403964627599
2,13,39000.0,0.41909409362401
2,13,40000.0,0.36775106739267
2,13,41000.0,0.42869894891325
2,13,42000.0,0.33255494173081
2,13,43000.0,0.35508909835874
2,13,44000.0,0.41059256763455
2,13,45000.0,0.42673021750226
2,13,46000.0,0.40385622681214
2,13,47000.0,0.37797397508032
2,13,48000.0,0.44270105434522
2,13,49000.0,0.43510577316113
2,13,50000.0,0.38754866416152
2,14,1000.0,1.0
2,14,2000.0,0.0
2,14,3000.0,0.0
2,14,4000.0,0.35397927432118
2,14,5000.0,0.32411751536115
2,14,6000.0,0.28768963609962
2,14,7000.0,0.0
2,14,8000.0,0.0
2,14,9000.0,0.67934461096497
2,14,10000.0,0.60005602226633
2,14,11000.0,0.66337102143768
2,14,12000.0,0.65198022537104
2,14,13000.0,0.64811167300954
2,14,14000.0,0.64897532069011
2,14,15000.0,0.65303407430264
2,14,16000.0,0.61077906247218
2,14,17000.0,0.63658641296407
2,14,18000.0,0.61946925284338
2,14,19000.0,0.60638586945474
2,14,20000.0,0.68684715544729
2,14,21000.0,0.60640937880334
2,14,22000.0,0.60106886572944
2,14,23000.0,0.65734556491532
2,14,24000.0,0.65276583408321
2,14,25000.0,0.44577249893286
2,14,26000.0,0.66414934801551
2,14,27000.0,0.61438145118099
2,14,28000.0,0.53949688603725
2,14,29000.0,0.60582007680579
2,14,30000.0,0.63999020223059
2,14,31000.0,0.60081576922921
2,14,32000.0,0.5996807947618
2,14,33000.0,0.64881010099803
2,14,34000.0,0.57116059666777
2,14,35000.0,0.56489095998619
2,14,36000.0,0.62405058797765
2,14,37000.0,0.59676383776391
2,14,38000.0,0.58508836524205
2,14,39000.0,0.64401471435421
2,14,40000.0,0.60518160116773
2,14,41000.0,0.63194317397997
2,14,42000.0,0.59272994406896
2,14,43000.0,0.63737136697711
2,14,44000.0,0.66706131238813
2,14,45000.0,0.65516580677447
2,14,46000.0,0.62302886106071
2,14,47000.0,0.62592129277169
2,14,48000.0,0.65769501196152
2,14,49000.0,0.6262209295791
2,14,50000.0,0.68452632169738
2,15,1000.0,1.0
2,15,2000.0,0.0
2,15,3000.0,0.0054219394634247
2,15,4000.0,0.081267860061281
2,15,5000.0,0.097837045481535
2,15,6000.0,0.12763501997693
2,15,7000.0,0.081851938042586
2,15,8000.0,0.07629565433501
2,15,9000.0,0.15034761350408
2,15,10000.0,0.093068436424419
2,15,11000.0,0.12832724657624
2,15,12000.0,0.14604103257603
2,15,13000.0,0.13599259388309
2,15,14000.0,0.15369846988133
2,15,15000.0,0.1348499715181
2,15,16000.0,0.059056145599955
2,15,17000.0,0.097244772343385
2,15,18000.0,0.10093960322091
2,15,19000.0,0.0
2,15,20000.0,0.16084856996384
2,15,21000.0,0.11255631244855
2,15,22000.0,0.0
2,15,23000.0,0.091592012633301
2,15,24000.0,0.072877140443171
2,15,25000.0,0.0
2,15,26000.0,0.30259047792312
2,15,27000.0,0.25180649369001
2,15,28000.0,0.10635042961374
2,15,29000.0,0.19954629692376
2,15,30000.0,0.23034549763019
2,15,31000.0,0.11788199829577
2,15,32000.0,0.059692151574073
2,15,33000.0,0.18964870103631
2,15,34000.0,0.099657838588925
2,15,35000.0,0.074941879475823
2,15,36000.0,0.12213902157986
2,15,37000.0,0.093137431359758
2,15,38000.0,0.053414716472264
2,15,39000.0,0.13591709958644
2,15,40000.0,0.029750302109625
2,15,41000.0,0.10151489177414
2,15,42000.0,0.010146927276854
2,15,43000.0,0.051807420279127
2,15,44000.0,0.045346405255075
2,15,45000.0,0.05824079046824
2,15,46000.0,0.024780951965465
2,15,47000.0,0.0
2,15,48000.0,0.15064677743571
2,15,49000.0,0.017731411069034
2,15,50000.0,0.053379120492222
2,16,1000.0,1.0
2,16,2000.0,0.0
2,16,3000.0,0.0
2,16,4000.0,0.49689343477083
2,16,5000.0,0.40141851437419
2,16,6000.0,0.39523610273046
2,16,7000.0,0.28559309014579
2,16,8000.0,0.20674522007528
2,16,9000.0,0.40129667705459
2,16,10000.0,0.38833749711448
2,16,11000.0,0.43281652445029
2,16,12000.0,0.45966796271564
2,16,13000.0,0.46094210619385
2,16,14000.0,0.41588284010831
2,16,15000.0,0.40875480515959
2,16,16000.0,0.42441232874506
2,16,17000.0,0.40402498416597
2,16,18000.0,0.35444122490509
2,16,19000.0,0.31924259621013
2,16,20000.0,0.4730899566426
2,16,21000.0,0.40681848971531
2,16,22000.0,0.36577604372932
2,16,23000.0,0.42048541589783
2,16,24000.0,0.4009990343885
2,16,25000.0,0.11705085035442
2,16,26000.0,0.43519246462309
2,16,27000.0,0.37007828004893
2,16,28000.0,0.30426312957833
2,16,29000.0,0.25924864437887
2,16,30000.0,0.36196167847524
2,16,31000.0,0.31486733471951
2,16,32000.0,0.33676448733662
2,16,33000.0,0.38159342426947
2,16,34000.0,0.32044830865533
2,16,35000.0,0.35721328805489
2,16,36000.0,0.26688550103242
2,16,37000.0,0.35496924415481
2,16,38000.0,0.31252468753263
2,16,39000.0,0.36026657477425
2,16,40000.0,0.43672285276539
2,16,41000.0,0.37215690076251
2,16,42000.0,0.33880657599111
2,16,43000.0,0.37816659799543
2,16,44000.0,0.40368033947843
2,16,45000.0,0.32956329564581
2,16,46000.0,0.30445181449031
2,16,47000.0,0.31881490598705
2,16,48000.0,0.40500392435595
2,16,49000.0,0.28338131970787
2,16,50000.0,0.38847900384333
2,17,1000.0,1.0
2,17,2000.0,0.0
2,17,3000.0,0.0
2,17,4000.0,0.24039786493058
2,17,5000.0,0.18777069481116
2,17,6000.0,0.17531685212445
2,17,7000.0,0.099292370211736
2,17,8000.0,0.0
2,17,9000.0,0.22999249460849
2,17,10000.0,0.22190333756734
2,17,11000.0,0.17393175213738
2,17,12000.0,0.18474678170739
