rep,host,t,TotalClusterMsgSent
0,10,5000.0,91.0
0,10,6000.0,113.0
0,10,7000.0,135.0
0,10,8000.0,155.0
0,10,9000.0,173.0
0,10,10000.0,193.0
0,10,11000.0,213.0
0,10,12000.0,235.0
0,10,13000.0,259.0
0,10,14000.0,283.0
0,10,15000.0,307.0
0,10,16000.0,329.0
0,10,17000.0,351.0
0,10,18000.0,373.0
0,10,19000.0,397.0
0,10,20000.0,425.0
0,10,21000.0,453.0
0,10,22000.0,481.0
0,10,23000.0,509.0
0,10,24000.0,537.0
0,10,25000.0,565.0
0,10,26000.0,593.0
0,10,27000.0,621.0
0,10,28000.0,649.0
0,10,29000.0,677.0
0,10,30000.0,705.0
0,10,31000.0,734.0
0,10,32000.0,764.0
0,10,33000.0,794.0
0,10,34000.0,824.0
0,10,35000.0,852.0
0,10,36000.0,880.0
0,10,37000.0,902.0
0,10,38000.0,922.0
0,10,39000.0,942.0
0,10,40000.0,960.0
0,10,41000.0,978.0
0,10,42000.0,996.0
0,10,43000.0,1016.0
0,10,44000.0,1036.0
0,10,45000.0,1056.0
0,10,46000.0,1076.0
0,10,47000.0,1096.0
0,10,48000.0,1116.0
0,10,49000.0,1136.0
0,10,50000.0,1156.0
0,11,1000.0,5.0
0,11,2000.0,9.0
0,11,3000.0,17.0
0,11,4000.0,21.0
0,11,5000.0,25.0
0,11,6000.0,35.0
0,11,7000.0,40.0
0,11,8000.0,46.0
0,11,9000.0,58.0
0,11,10000.0,64.0
0,11,11000.0,70.0
0,11,12000.0,81.0
0,11,13000.0,86.0
0,11,14000.0,91.0
0,11,15000.0,103.0
0,11,16000.0,109.0
0,11,17000.0,115.0
0,11,18000.0,129.0
0,11,19000.0,136.0
0,11,20000.0,143.0
0,11,21000.0,159.0
0,11,22000.0,167.0
0,11,23000.0,175.0
0,11,24000.0,193.0
0,11,25000.0,202.0
0,11,26000.0,211.0
0,11,27000.0,229.0
0,11,28000.0,238.0
0,11,29000.0,247.0
0,11,30000.0,265.0
0,11,31000.0,274.0
0,11,32000.0,283.0
0,11,33000.0,301.0
0,11,34000.0,310.0
0,11,35000.0,320.0
0,11,36000.0,330.0
0,11,37000.0,341.0
0,11,38000.0,353.0
0,11,39000.0,377.0
0,11,40000.0,389.0
0,11,41000.0,401.0
0,11,42000.0,424.0
0,11,43000.0,436.0
0,11,44000.0,450.0
0,11,45000.0,480.0
0,11,46000.0,525.0
0,11,47000.0,556.0
0,11,48000.0,588.0
0,11,49000.0,604.0
0,11,50000.0,621.0
0,12,1000.0,11.0
0,12,2000.0,22.0
0,12,3000.0,45.0
0,12,4000.0,57.0
0,12,5000.0,85.0
0,12,6000.0,113.0
0,12,7000.0,141.0
0,12,8000.0,171.0
0,12,9000.0,219.0
0,12,10000.0,235.0
0,12,11000.0,251.0
0,12,12000.0,283.0
0,12,13000.0,299.0
0,12,14000.0,315.0
0,12,15000.0,366.0
0,12,16000.0,417.0
