rep,t,mean_globalNumCH,n_hosts_used
2,2000.0,51.0,99
2,3000.0,62.0,99
2,4000.0,58.0,99
2,5000.0,54.0,99
2,6000.0,52.0,99
2,7000.0,52.0,99
2,8000.0,52.0,99
2,9000.0,52.0,99
2,10000.0,53.0,99
2,11000.0,55.0,99
2,12000.0,56.0,99
2,13000.0,57.0,99
2,14000.0,57.0,99
2,15000.0,57.0,99
2,16000.0,59.0,99
2,17000.0,61.0,99
2,18000.0,61.0,99
2,19000.0,64.0,99
2,20000.0,64.0,99
2,21000.0,64.0,99
2,22000.0,64.0,99
2,23000.0,64.0,99
2,24000.0,64.0,99
2,25000.0,65.0,99
2,26000.0,68.0,99
2,27000.0,70.0,99
2,28000.0,71.0,99
2,29000.0,70.0,99
2,30000.0,70.0,99
2,31000.0,70.0,99
2,32000.0,68.0,99
2,33000.0,67.0,99
2,34000.0,68.0,99
2,35000.0,67.0,99
2,36000.0,69.0,99
2,37000.0,69.0,99
2,38000.0,69.0,99
2,39000.0,73.0,99
2,40000.0,76.0,99
2,41000.0,76.0,99
2,42000.0,76.0,99
2,43000.0,76.0,99
2,44000.0,76.0,99
2,45000.0,75.0,99
2,46000.0,76.0,99
2,47000.0,76.0,99
2,48000.0,76.0,99
2,49000.0,75.0,99
2,50000.0,74.0,99
3,1000.0,33.0,99
3,2000.0,45.0,99
3,3000.0,55.0,99
3,4000.0,54.0,99
3,5000.0,50.0,99
3,6000.0,48.0,99
3,7000.0,50.0,99
3,8000.0,49.0,99
3,9000.0,50.0,99
3,10000.0,49.0,99
3,11000.0,50.0,99
3,12000.0,51.0,99
3,13000.0,52.0,99
3,14000.0,53.0,99
3,15000.0,55.0,99
3,16000.0,57.0,99
3,17000.0,54.0,99
3,18000.0,53.0,99
3,19000.0,55.0,99
3,20000.0,56.0,99
3,21000.0,56.0,99
3,22000.0,56.0,99
3,23000.0,59.0,99
3,24000.0,60.0,99
3,25000.0,60.0,99
3,26000.0,61.0,99
3,27000.0,61.0,99
3,28000.0,62.0,99
3,29000.0,65.0,99
3,30000.0,64.0,99
3,31000.0,64.0,99
3,32000.0,65.0,99
3,33000.0,64.0,99
3,34000.0,64.0,99
3,35000.0,64.0,99
3,36000.0,66.0,99
3,37000.0,65.0,99
3,38000.0,65.0,99
3,39000.0,66.0,99
3,40000.0,66.0,99
3,41000.0,67.0,99
3,42000.0,68.0,99
3,43000.0,68.0,99
3,44000.0,69.0,99
3,45000.0,69.0,99
3,46000.0,68.0,99
3,47000.0,68.0,99
3,48000.0,68.0,99
3,49000.0,69.0,99
3,50000.0,69.0,99
4,1000.0,31.0,99
4,2000.0,39.0,99
4,3000.0,48.0,99
4,4000.0,50.0,99
4,5000.0,52.0,99
4,6000.0,54.0,99
4,7000.0,53.0,99
4,8000.0,55.0,99
4,9000.0,58.0,99
4,10000.0,58.0,99
4,11000.0,58.0,99
4,12000.0,60.0,99
4,13000.0,58.0,99
4,14000.0,60.0,99
4,15000.0,61.0,99
4,16000.0,62.0,99
4,17000.0,61.0,99
4,18000.0,62.0,99
4,19000.0,62.0,99
4,20000.0,64.0,99
4,21000.0,65.0,99
4,22000.0,65.0,99
4,23000.0,64.0,99
4,24000.0,64.0,99
4,25000.0,64.0,99
4,26000.0,64.0,99
4,27000.0,64.0,99
4,28000.0,64.0,99
4,29000.0,65.0,99
4,30000.0,66.0,99
4,31000.0,67.0,99
4,32000.0,69.0,99
4,33000.0,70.0,99
4,34000.0,70.0,99
4,35000.0,71.0,99
4,36000.0,69.0,99
4,37000.0,70.0,99
4,38000.0,70.0,99
4,39000.0,70.0,99
4,40000.0,71.0,99
4,41000.0,72.0,99
4,42000.0,73.0,99
4,43000.0,72.0,99
4,44000.0,71.0,99
4,45000.0,75.0,99
4,46000.0,76.0,99
4,47000.0,75.0,99
4,48000.0,77.0,99
4,49000.0,76.0,99
4,50000.0,74.0,99
