rep,t,mean_TotalClusterMsgSent,n_hosts_used
3,43000.0,984.0,24
3,44000.0,999.0,24
3,45000.0,1029.0,24
3,46000.0,1044.0,24
3,47000.0,1059.0,24
3,48000.0,1074.0,24
3,49000.0,1089.0,24
3,50000.0,1104.0,24
4,1000.0,14.0,24
4,2000.0,49.0,24
4,3000.0,63.0,24
4,4000.0,70.0,24
4,5000.0,91.0,24
4,6000.0,112.0,24
4,7000.0,126.0,24
4,8000.0,161.0,24
4,9000.0,183.0,24
4,10000.0,190.0,24
4,11000.0,204.0,24
4,12000.0,218.0,24
4,13000.0,225.0,24
4,14000.0,232.0,24
4,15000.0,241.0,24
4,16000.0,259.0,24
4,17000.0,268.0,24
4,18000.0,277.0,24
4,19000.0,295.0,24
4,20000.0,304.0,24
4,21000.0,313.0,24
4,22000.0,329.0,24
4,23000.0,337.0,24
4,24000.0,345.0,24
4,25000.0,361.0,24
4,26000.0,369.0,24
4,27000.0,377.0,24
4,28000.0,385.0,24
4,29000.0,393.0,24
4,30000.0,401.0,24
4,31000.0,409.0,24
4,32000.0,417.0,24
4,33000.0,431.0,24
4,34000.0,438.0,24
4,35000.0,454.0,24
4,36000.0,462.0,24
4,37000.0,473.0,24
4,38000.0,512.0,24
4,39000.0,532.0,24
4,40000.0,542.0,24
4,41000.0,551.0,24
4,42000.0,578.0,24
4,43000.0,596.0,24
4,44000.0,636.0,24
4,45000.0,656.0,24
4,46000.0,677.0,24
4,47000.0,699.0,24
4,48000.0,721.0,24
4,49000.0,732.0,24
4,50000.0,743.0,24
