rep,t,mean_availability,n_hosts_used
1,36000.0,0.4583333333333333,24
1,37000.0,0.6666666666666666,24
1,38000.0,0.4583333333333333,24
1,39000.0,0.5416666666666666,24
1,40000.0,0.4583333333333333,24
1,41000.0,0.5416666666666666,24
1,42000.0,0.5416666666666666,24
1,43000.0,0.5833333333333334,24
1,44000.0,0.625,24
1,45000.0,0.5416666666666666,24
1,46000.0,0.4166666666666667,24
1,47000.0,0.4583333333333333,24
1,48000.0,0.625,24
1,49000.0,0.75,24
1,50000.0,0.6666666666666666,24
2,1000.0,0.0,24
2,2000.0,0.375,24
2,3000.0,0.375,24
2,4000.0,0.375,24
2,5000.0,0.4583333333333333,24
2,6000.0,0.5833333333333334,24
2,7000.0,0.6666666666666666,24
2,8000.0,0.5416666666666666,24
2,9000.0,0.7083333333333334,24
2,10000.0,0.75,24
2,11000.0,0.5833333333333334,24
2,12000.0,0.4583333333333333,24
2,13000.0,0.7083333333333334,24
2,14000.0,0.625,24
2,15000.0,0.7083333333333334,24
2,16000.0,0.5,24
2,17000.0,0.75,24
2,18000.0,0.7083333333333334,24
2,19000.0,0.8333333333333334,24
2,20000.0,0.6666666666666666,24
2,21000.0,0.6666666666666666,24
2,22000.0,0.7083333333333334,24
2,23000.0,0.7083333333333334,24
2,24000.0,0.6666666666666666,24
2,25000.0,0.5416666666666666,24
2,26000.0,0.5,24
2,27000.0,0.7083333333333334,24
2,28000.0,0.5416666666666666,24
2,29000.0,0.5833333333333334,24
2,30000.0,0.4166666666666667,24
2,31000.0,0.4583333333333333,24
2,32000.0,0.625,24
2,33000.0,0.5833333333333334,24
2,34000.0,0.8333333333333334,24
2,35000.0,0.6666666666666666,24
2,36000.0,0.5833333333333334,24
2,37000.0,0.4583333333333333,24
2,38000.0,0.375,24
2,39000.0,0.5416666666666666,24
2,40000.0,0.4166666666666667,24
2,41000.0,0.4583333333333333,24
2,42000.0,0.375,24
2,43000.0,0.5833333333333334,24
2,44000.0,0.5,24
2,45000.0,0.4166666666666667,24
2,46000.0,0.25,24
2,47000.0,0.7083333333333334,24
2,48000.0,0.7916666666666666,24
2,49000.0,0.6666666666666666,24
2,50000.0,0.4583333333333333,24
3,1000.0,0.0,24
3,2000.0,0.4166666666666667,24
3,3000.0,0.4166666666666667,24
3,4000.0,0.4166666666666667,24
3,5000.0,0.5,24
3,6000.0,0.6666666666666666,24
3,7000.0,0.6666666666666666,24
3,8000.0,0.375,24
3,9000.0,0.5833333333333334,24
3,10000.0,0.75,24
3,11000.0,0.7083333333333334,24
3,12000.0,0.5,24
3,13000.0,0.5,24
3,14000.0,0.5833333333333334,24
3,15000.0,0.5833333333333334,24
3,16000.0,0.4583333333333333,24
3,17000.0,0.5,24
3,18000.0,0.625,24
3,19000.0,0.7083333333333334,24
3,20000.0,0.6666666666666666,24
3,21000.0,0.5,24
3,22000.0,0.75,24
3,23000.0,0.5416666666666666,24
3,24000.0,0.5416666666666666,24
3,25000.0,0.4166666666666667,24
3,26000.0,0.625,24
3,27000.0,0.5833333333333334,24
3,28000.0,0.6666666666666666,24
3,29000.0,0.5833333333333334,24
3,30000.0,0.7083333333333334,24
3,31000.0,0.5833333333333334,24
3,32000.0,0.5833333333333334,24
3,33000.0,0.625,24
3,34000.0,0.8333333333333334,24
3,35000.0,0.7916666666666666,24
3,36000.0,0.7083333333333334,24
3,37000.0,0.4583333333333333,24
3,38000.0,0.5833333333333334,24
3,39000.0,0.6666666666666666,24
3,40000.0,0.5833333333333334,24
3,41000.0,0.5416666666666666,24
3,42000.0,0.4166666666666667,24
3,43000.0,0.5,24
3,44000.0,0.5,24
3,45000.0,0.5833333333333334,24
3,46000.0,0.7083333333333334,24
3,47000.0,0.625,24
3,48000.0,0.625,24
3,49000.0,0.5833333333333334,24
3,50000.0,0.6666666666666666,24
4,1000.0,0.0,24
4,2000.0,0.5416666666666666,24
4,3000.0,0.5416666666666666,24
4,4000.0,0.5416666666666666,24
4,5000.0,0.375,24
4,6000.0,0.7083333333333334,24
4,7000.0,0.7083333333333334,24
4,8000.0,0.5416666666666666,24
4,9000.0,0.5,24
4,10000.0,0.75,24
4,11000.0,0.875,24
4,12000.0,0.75,24
4,13000.0,0.7083333333333334,24
4,14000.0,0.6666666666666666,24
4,15000.0,0.7916666666666666,24
4,16000.0,0.7916666666666666,24
4,17000.0,0.625,24
4,18000.0,0.7083333333333334,24
4,19000.0,0.8333333333333334,24
4,20000.0,0.7916666666666666,24
4,21000.0,0.5833333333333334,24
4,22000.0,0.625,24
4,23000.0,0.8333333333333334,24
4,24000.0,0.6666666666666666,24
4,25000.0,0.5833333333333334,24
4,26000.0,0.5416666666666666,24
4,27000.0,0.7083333333333334,24
4,28000.0,0.625,24
4,29000.0,0.625,24
4,30000.0,0.7083333333333334,24
4,31000.0,0.8333333333333334,24
4,32000.0,0.75,24
4,33000.0,0.7916666666666666,24
4,34000.0,0.625,24
4,35000.0,0.5833333333333334,24
4,36000.0,0.5416666666666666,24
4,37000.0,0.6666666666666666,24
4,38000.0,0.625,24
4,39000.0,0.6666666666666666,24
4,40000.0,0.5833333333333334,24
4,41000.0,0.5416666666666666,24
4,42000.0,0.5833333333333334,24
4,43000.0,0.75,24
4,44000.0,0.8333333333333334,24
4,45000.0,0.6666666666666666,24
4,46000.0,0.5833333333333334,24
4,47000.0,0.75,24
4,48000.0,0.7916666666666666,24
4,49000.0,0.6666666666666666,24
4,50000.0,0.5833333333333334,24
