rep,t,mean_globalNumCH,n_hosts_used
2,25000.0,4.0,9
2,26000.0,4.0,9
2,27000.0,4.0,9
2,28000.0,4.0,9
2,29000.0,4.0,9
2,30000.0,4.0,9
2,31000.0,4.0,9
2,32000.0,4.0,9
2,33000.0,4.0,9
2,34000.0,4.0,9
2,35000.0,4.0,9
2,36000.0,4.0,9
2,37000.0,4.0,9
2,38000.0,4.0,9
2,39000.0,3.0,9
2,40000.0,3.0,9
2,41000.0,3.0,9
2,42000.0,3.0,9
2,43000.0,3.0,9
2,44000.0,3.0,9
2,45000.0,3.0,9
2,46000.0,3.0,9
2,47000.0,3.0,9
2,48000.0,3.0,9
2,49000.0,3.0,9
2,50000.0,3.0,9
3,1000.0,0.0,9
3,2000.0,6.0,9
3,3000.0,6.0,9
3,4000.0,6.0,9
3,5000.0,5.0,9
3,6000.0,5.0,9
3,7000.0,5.0,9
3,8000.0,5.0,9
3,9000.0,5.0,9
3,10000.0,5.0,9
3,11000.0,5.0,9
3,12000.0,5.0,9
3,13000.0,5.0,9
3,14000.0,4.0,9
3,15000.0,4.0,9
3,16000.0,4.0,9
3,17000.0,4.0,9
3,18000.0,4.0,9
3,19000.0,4.0,9
3,20000.0,4.0,9
3,21000.0,4.0,9
3,22000.0,4.0,9
3,23000.0,4.0,9
3,24000.0,4.0,9
3,25000.0,4.0,9
3,26000.0,4.0,9
3,27000.0,4.0,9
3,28000.0,4.0,9
3,29000.0,4.0,9
3,30000.0,4.0,9
3,31000.0,4.0,9
3,32000.0,4.0,9
3,33000.0,4.0,9
3,34000.0,4.0,9
3,35000.0,4.0,9
3,36000.0,5.0,9
3,37000.0,5.0,9
3,38000.0,4.0,9
3,39000.0,4.0,9
3,40000.0,4.0,9
3,41000.0,4.0,9
3,42000.0,4.0,9
3,43000.0,4.0,9
3,44000.0,4.0,9
3,45000.0,4.0,9
3,46000.0,4.0,9
3,47000.0,4.0,9
3,48000.0,4.0,9
3,49000.0,4.0,9
3,50000.0,4.0,9
4,1000.0,5.0,9
4,2000.0,6.0,9
4,3000.0,7.0,9
4,4000.0,6.0,9
4,5000.0,6.0,9
4,6000.0,6.0,9
4,7000.0,6.0,9
4,8000.0,6.0,9
4,9000.0,6.0,9
4,10000.0,5.0,9
4,11000.0,5.0,9
4,12000.0,5.0,9
4,13000.0,5.0,9
4,14000.0,5.0,9
4,15000.0,5.0,9
4,16000.0,5.0,9
4,17000.0,5.0,9
4,18000.0,5.0,9
4,19000.0,5.0,9
4,20000.0,5.0,9
4,21000.0,5.0,9
4,22000.0,5.0,9
4,23000.0,5.0,9
4,24000.0,5.0,9
4,25000.0,4.0,9
4,26000.0,4.0,9
4,27000.0,4.0,9
4,28000.0,4.0,9
4,29000.0,4.0,9
4,30000.0,4.0,9
4,31000.0,4.0,9
4,32000.0,3.0,9
4,33000.0,3.0,9
4,34000.0,3.0,9
4,35000.0,3.0,9
4,36000.0,3.0,9
4,37000.0,3.0,9
4,38000.0,3.0,9
4,39000.0,3.0,9
4,40000.0,3.0,9
4,41000.0,3.0,9
4,42000.0,3.0,9
4,43000.0,2.0,9
4,44000.0,4.0,9
4,45000.0,4.0,9
4,46000.0,4.0,9
4,47000.0,3.0,9
4,48000.0,3.0,9
4,49000.0,3.0,9
4,50000.0,4.0,9
