rep,t,mean_Ec,n_hosts_used
3,18000.0,0.02533856389797308,9
3,19000.0,0.06723551508634334,9
3,20000.0,0.06504874840253855,9
3,21000.0,0.03390985877753478,9
3,22000.0,0.053401384169826,9
3,23000.0,0.011785914486408621,9
3,24000.0,0.10012942243757522,9
3,25000.0,0.17696756519776877,9
3,26000.0,0.17212751233881957,9
3,27000.0,0.0758082469794349,9
3,28000.0,0.07490969396564046,9
3,29000.0,0.18969436019493144,9
3,30000.0,0.15428283420318298,9
3,31000.0,0.09515171241246856,9
3,32000.0,0.14680958405428035,9
3,33000.0,0.17214071458381264,9
3,34000.0,0.16042047102457557,9
3,35000.0,0.190240757355115,9
3,36000.0,0.043613161005515336,9
3,37000.0,0.17583205862652143,9
3,38000.0,0.16185272616882213,9
3,39000.0,0.09272680204001332,9
3,40000.0,0.09190454895011578,9
3,41000.0,0.17644828836925244,9
3,42000.0,0.1151250039551599,9
3,43000.0,0.16507566117669134,9
3,44000.0,0.168140475266475,9
3,45000.0,0.12351409424253187,9
3,46000.0,0.12473011675684544,9
3,47000.0,0.14299145300432434,9
3,48000.0,0.16747919544601958,9
3,49000.0,0.16849155591970078,9
3,50000.0,0.1445039345497817,9
4,1000.0,1.0,9
4,2000.0,0.0,9
4,3000.0,0.1268419380856189,9
4,4000.0,0.13451435759667532,9
4,5000.0,0.09328097661727022,9
4,6000.0,0.08508207996592944,9
4,7000.0,0.021906875712137022,9
4,8000.0,0.0776590105563345,9
4,9000.0,0.026786288229264977,9
4,10000.0,0.14779336262205256,9
4,11000.0,0.108904040550754,9
4,12000.0,0.16475294660328224,9
4,13000.0,0.059003920598933224,9
4,14000.0,0.07427770125667256,9
4,15000.0,0.1606451084367529,9
4,16000.0,0.1581467472508671,9
4,17000.0,0.07562354275163388,9
4,18000.0,0.09305800394643422,9
4,19000.0,0.12857303517799934,9
4,20000.0,0.14857963238186422,9
4,21000.0,0.150970363520991,9
4,22000.0,0.06636123078039756,9
4,23000.0,0.0714558091459023,9
4,24000.0,0.19722021283255,9
4,25000.0,0.15040529448581133,9
4,26000.0,0.14495797512413866,9
4,27000.0,0.1074781772573864,9
4,28000.0,0.10494723785930311,9
4,29000.0,0.10368359559768989,9
4,30000.0,0.17567414869710998,9
4,31000.0,0.08853584621725843,9
4,32000.0,0.0872482331306128,9
4,33000.0,0.13366291094739502,9
4,34000.0,0.17803793158182699,9
4,35000.0,0.116102078639215,9
4,36000.0,0.08105111053777567,9
4,37000.0,0.19337763963169444,9
4,38000.0,0.16452769161550754,9
4,39000.0,0.1460830441142911,9
4,40000.0,0.12026567924262989,9
4,41000.0,0.17037743164009267,9
4,42000.0,0.19197539735673178,9
4,43000.0,0.08118416587470188,9
4,44000.0,0.16499387874758653,9
4,45000.0,0.16872902284319968,9
4,46000.0,0.18640492337322778,9
4,47000.0,0.144642375229009,9
4,48000.0,0.07794959962403933,9
4,49000.0,0.2095173916126808,9
4,50000.0,0.1595359192533068,9
