rep,t,mean_TotalClusterMsgSent,n_hosts_used
2,25000.0,127.0,9
2,26000.0,139.0,9
2,27000.0,145.0,9
2,28000.0,151.0,9
2,29000.0,163.0,9
2,30000.0,170.0,9
2,31000.0,177.0,9
2,32000.0,187.0,9
2,33000.0,198.0,9
2,34000.0,205.0,9
2,35000.0,214.0,9
2,36000.0,226.0,9
2,37000.0,233.0,9
2,38000.0,240.0,9
2,39000.0,261.0,9
2,40000.0,267.0,9
2,41000.0,273.0,9
2,42000.0,291.0,9
2,43000.0,303.0,9
2,44000.0,309.0,9
2,45000.0,330.0,9
2,46000.0,344.0,9
2,47000.0,351.0,9
2,48000.0,372.0,9
2,49000.0,386.0,9
2,50000.0,393.0,9
3,1000.0,2.0,9
3,2000.0,6.0,9
3,3000.0,10.0,9
3,4000.0,12.0,9
3,5000.0,16.0,9
3,6000.0,20.0,9
3,7000.0,22.0,9
3,8000.0,26.0,9
3,9000.0,30.0,9
3,10000.0,32.0,9
3,11000.0,36.0,9
3,12000.0,40.0,9
3,13000.0,42.0,9
3,14000.0,44.0,9
3,15000.0,48.0,9
3,16000.0,50.0,9
3,17000.0,55.0,9
3,18000.0,61.0,9
3,19000.0,64.0,9
3,20000.0,67.0,9
3,21000.0,76.0,9
3,22000.0,79.0,9
3,23000.0,82.0,9
3,24000.0,85.0,9
3,25000.0,88.0,9
3,26000.0,91.0,9
3,27000.0,94.0,9
3,28000.0,97.0,9
3,29000.0,100.0,9
3,30000.0,103.0,9
3,31000.0,106.0,9
3,32000.0,109.0,9
3,33000.0,112.0,9
3,34000.0,115.0,9
3,35000.0,118.0,9
3,36000.0,121.0,9
3,37000.0,124.0,9
3,38000.0,129.0,9
3,39000.0,139.0,9
3,40000.0,144.0,9
3,41000.0,149.0,9
3,42000.0,159.0,9
3,43000.0,163.0,9
3,44000.0,167.0,9
3,45000.0,177.0,9
3,46000.0,182.0,9
3,47000.0,187.0,9
3,48000.0,197.0,9
3,49000.0,202.0,9
3,50000.0,207.0,9
4,1000.0,4.0,9
4,2000.0,8.0,9
4,3000.0,16.0,9
4,4000.0,20.0,9
4,5000.0,23.0,9
4,6000.0,29.0,9
4,7000.0,32.0,9
4,8000.0,35.0,9
4,9000.0,41.0,9
4,10000.0,44.0,9
4,11000.0,47.0,9
4,12000.0,53.0,9
4,13000.0,56.0,9
4,14000.0,59.0,9
4,15000.0,65.0,9
4,16000.0,68.0,9
4,17000.0,71.0,9
4,18000.0,77.0,9
4,19000.0,80.0,9
4,20000.0,83.0,9
4,21000.0,89.0,9
4,22000.0,92.0,9
4,23000.0,95.0,9
4,24000.0,103.0,9
4,25000.0,113.0,9
4,26000.0,118.0,9
4,27000.0,128.0,9
4,28000.0,143.0,9
4,29000.0,148.0,9
4,30000.0,158.0,9
4,31000.0,171.0,9
4,32000.0,175.0,9
4,33000.0,183.0,9
4,34000.0,187.0,9
4,35000.0,191.0,9
4,36000.0,199.0,9
4,37000.0,203.0,9
4,38000.0,207.0,9
4,39000.0,215.0,9
4,40000.0,219.0,9
4,41000.0,222.0,9
4,42000.0,225.0,9
4,43000.0,228.0,9
4,44000.0,234.0,9
4,45000.0,238.0,9
4,46000.0,242.0,9
4,47000.0,246.0,9
4,48000.0,250.0,9
4,49000.0,254.0,9
4,50000.0,258.0,9
